Book_title,Author,ISBN-10,ISBN-13,Category,Description,Cover_link
Sri Lankan Ethnic Crisis: Towards a Resolution,R.B. Herath,1553697936,978-1553697930,Politics & Social Science,"This book is a frank reflection on the history and politics of Sri Lanka that has produced its current tragic ethnic crisis. It is the first book on the subject to help the reader fully understand the historic context of the crisis, discover hidden factors that influence it, and see a peaceful way to resolve it with a new democratic model of governance. The basic principles of the model are universally applicable to all countries enduring similar ethnic crises.","https://images-na.ssl-images-amazon.com/images/I/41EACJcwVoL._SX331_BO1,204,203,200_.jpg"
Social Statistics for a Diverse Society 9th Edition,"Chava Frankfort-Nachmias, Anna Y. Leon-Guerrero, Georgiann Davis",1544339739,978-1544339733,Statistics,"The Ninth Editionof Social Statistics for a Diverse Society continues to emphasize intuition and common sense, while demonstrating the link between the practice of statistics and important social issues. Recognizing that we live in a world characterized by a growing diversity and richness of social differences, best-selling authors Frankfort-Nachmias, Leon-Guerrero, and Davis help you learn key statistical concepts through real research examples related to the dynamic interplay of race, class, gender, and other social variables. The text also helps you develop important skills such as problem-solving (through a rich variety of exercises), use of statistical software (both SPSS and Excel), and interpreting research literature.","https://images-na.ssl-images-amazon.com/images/I/51WZtqQTN3L._SX398_BO1,204,203,200_.jpg"
Social Statistics for a Diverse Society Seventh Edition,"Chava Frankfort-Nachmias, Anna Y. Leon-Guerrero",148333354X,978-1483333540,Statistics,"Today’s students live in a world characterized by a growing diversity and richness of social differences. In the seventh edition of Social Statistics for a Diverse Society, authors Chava Frankfort-Nachmias and Anna Leon-Guerrero continue to help students learn statistics through real research examples related to the dynamic interplay of race, class, gender, and other social variables. Focusing on the constant intersections between local and global social concerns and methods of inquiry and investigation, this new edition continues to emphasize intuition and common sense while demonstrating the link between the practice of statistics and important social issues. In addition, guides for reading and interpreting the research literature help students understand key statistical concepts, while SPSS demonstrations and a rich variety of exercises help them hone their problem-solving skills.","https://images-na.ssl-images-amazon.com/images/I/511H9CxSZ5L._SX400_BO1,204,203,200_.jpg"
Using IBM® SPSS® Statistics for Research Methods and Social Science Statistics 7th Edition,William E. Wagner,1506389007,978-1506389004,Statistics,"Using IBM SPSS for Social Statistics and Research Methods supports the use of SPSS for social statistics and research methods classes and is an excellent companion to any undergraduate statistics or research methods textbook. The book covers a wide range of data analysis topics to help students working on papers, research projects, and proposals. Using examples, tables, and actual SPSS screen captures, along with current data sets from the General Social Survey, it guides users through several different kinds of SPSS files including data files, output files, and syntax files.","https://images-na.ssl-images-amazon.com/images/I/41PE+9I5m4L._SX348_BO1,204,203,200_.jpg"
"SPSS Statistics For Dummies, 4th Edition 4th Edition",Salcedo,1119560837,978-1119560838,Statistics,"The fun and friendly guide to mastering IBM's Statistical Package for the Social Sciences Written by an author team with a combined 55 years of experience using SPSS, this updated guide takes the guesswork out of the subject and helps you get the most out of using the leader in predictive analysis. Covering the latest release and updates to SPSS 27.0, and including more than 150 pages of basic statistical theory, it helps you understand the mechanics behind the calculations, perform predictive analysis, produce informative graphs, and more. You'll even dabble in programming as you expand SPSS functionality to suit your specific needs. Master the fundamental mechanics of SPSS Learn how to get data into and out of the program Graph and analyze your data more accurately and efficiently Program SPSS with Command Syntax Get ready to start handling data like a pro--with step-by-step instruction and expert advice!","https://images-na.ssl-images-amazon.com/images/I/51qyB1AfujS._SX390_BO1,204,203,200_.jpg"
STATISTICS FOR COLLEGE STUDENTS AND RESEARCHERS: SECOND EDITION,MICHAEL M NIKOLETSEAS Ph.D.,-,979-8588983235,Statistics,"This book was written by a professor of Psychology/ Medicine who taught introductory and advanced statistics in American colleges for many years. It teaches the concepts and logic of Statistics through stories. All parametric statistical tests covered with examples: t-test, all ANOVA through complex designs! You need only 5 simple formulas! Ideal for the COVID-19 era in winch classroom teaching is not always possible. Formulas do not lead to understanding, they actually prevent it. This book takes you through elementary, intermediate and advanced Statistics with only five simple formulas! Descriptive and inferential Statistics. t-test, one-way analysis of variance (ANOVA), two-way ANOVA, repeated measures, factorial designs unlimited, complex split-plot designs. Understanding the concepts and logic of statistics makes you a better researcher and gives you confidence in live presentations of your research.","https://images-na.ssl-images-amazon.com/images/I/51iTwXLUmlL._SX322_BO1,204,203,200_.jpg"
Effective Modern C++: 42 Specific Ways to Improve Your Use of C++11 and C++14 1st Edition,Scott Meyers,1491903996,978-1491903995,Computer Science,"Coming to grips with C++11 and C++14 is more than a matter of familiarizing yourself with the features they introduce (e.g., auto type declarations, move semantics, lambda expressions, and concurrency support). The challenge is learning to use those features effectively --so that your software is correct, efficient, maintainable, and portable. That's where this practical book comes in. It describes how to write truly great software using C++11 and C++14--i.e. using modern C++. Topics include: The pros and cons of braced initialization, noexcept specifications, perfect forwarding, and smart pointer make functions The relationships among std:: move , std:: forward , rvalue references, and universal references Techniques for writing clear, correct, effective lambda expressions How std:: atomic differs from volatile , how each should be used, and how they relate to C++'s concurrency API How best practices in ""old"" C++ programming (i.e., C++98) require revision for software development in modern C++ Effective Modern C++ follows the proven guideline-based, example-driven format of Scott Meyers' earlier books, but covers entirely new material. ""After I learned the C++ basics, I then learned how to use C++ in production code from Meyer's series of Effective C++ books. Effective Modern C++ is the most important how-to book for advice on key guidelines, styles, and idioms to use modern C++ effectively and well. Don't own it yet? Buy this one. Now.""-- Herb Sutter, Chair of ISO C++ Standards Committee and C++ Software Architect at Microsoft","https://images-na.ssl-images-amazon.com/images/I/51qUGMia07L._SX379_BO1,204,203,200_.jpg"
Code: The Hidden Language of Computer Hardware and Software 1st Edition,Charles Petzold,735611319,978-0735611313,Computer Science,"What do flashlights, the British invasion, black cats, and seesaws have to do with computers? In CODE, they show us the ingenious ways we manipulate language and invent new means of communicating with each other. And through CODE, we see how this ingenuity and our very human compulsion to communicate have driven the technological innovations of the past two centuries.

Using everyday objects and familiar language systems such as Braille and Morse code, author Charles Petzold weaves an illuminating narrative for anyone who's ever wondered about the secret inner life of computers and other smart machines.

It's a cleverly illustrated and eminently comprehensible story--and along the way, you'll discover you've gained a real context for understanding today's world of PCs, digital media, and the Internet. No matter what your level of technical savvy, CODE will charm you--and perhaps even awaken the technophile within.","https://images-na.ssl-images-amazon.com/images/I/21R7kFvnskL._SX332_BO1,204,203,200_.jpg"
AP Computer Science A: With 6 Practice Tests (Barron's Test Prep) Ninth Edition,Roselyn Teukolsky M.S.,1438012896,978-1438012896,Computer Science,"arron’s AP Computer Science A: 2020-2021 includes in-depth content review and online practice. It’s the only book you’ll need to be prepared for exam day.

Written by Experienced Educators
Learn from Barron’s—all content is written and reviewed by AP experts
Build your understanding with comprehensive review tailored to the most recent exam
Get a leg up with tips, strategies, and study advice for exam day—it’s like having a trusted tutor by your side
Be Confident on Exam Day
Sharpen your test-taking skills with 6 full-length practice tests—3 in the book, including a diagnostic test to target your studying, and 3 more online
Strengthen your knowledge with in-depth review covering all Units on the AP Computer Science A Exam
Reinforce your learning with multiple-choice practice questions at the end of each chapter
Interactive Online Practice
Continue your practice with 3 full-length practice tests on Barron’s Online Learning Hub
Simulate the exam experience with a timed test option
Deepen your understanding with detailed answer explanations and expert advice
Gain confidence with automated scoring to check your learning progress","https://images-na.ssl-images-amazon.com/images/I/51IzZfQ6V-L._SX384_BO1,204,203,200_.jpg"
Fundamentals of Software Architecture: An Engineering Approach 1st Edition,"Mark Richards, Neal Ford",1492043451,978-1492043454,Computer Science,"Salary surveys worldwide regularly place software architect in the top 10 best jobs, yet no real guide exists to help developers become architects. Until now. This book provides the first comprehensive overview of software architecture's many aspects. Aspiring and existing architects alike will examine architectural characteristics, architectural patterns, component determination, diagramming and presenting architecture, evolutionary architecture, and many other topics. Mark Richards and Neal Ford--hands-on practitioners who have taught software architecture classes professionally for years--focus on architecture principles that apply across all technology stacks. You'll explore software architecture in a modern light, taking into account all the innovations of the past decade. This book examines: Architecture patterns: The technical basis for many architectural decisions Components: Identification, coupling, cohesion, partitioning, and granularity Soft skills: Effective team management, meetings, negotiation, presentations, and more Modernity: Engineering practices and operational approaches that have changed radically in the past few years Architecture as an engineering discipline: Repeatable results, metrics, and concrete valuations that add rigor to software architecture","https://images-na.ssl-images-amazon.com/images/I/51-RoANBXoL._SX379_BO1,204,203,200_.jpg"
"Machine Learning Design Patterns: Solutions to Common Challenges in Data Preparation, Model Building, and MLOps 1st Edition","Valliappa Lakshmanan, Sara Robinson, Michael Munn",1098115783,978-1098115784,Computer Science,"The design patterns in this book capture best practices and solutions to recurring problems in machine learning. The authors, three Google engineers, catalog proven methods to help data scientists tackle common problems throughout the ML process. These design patterns codify the experience of hundreds of experts into straightforward, approachable advice. In this book, you will find detailed explanations of 30 patterns for data and problem representation, operationalization, repeatability, reproducibility, flexibility, explainability, and fairness. Each pattern includes a description of the problem, a variety of potential solutions, and recommendations for choosing the best technique for your situation. You'll learn how to: Identify and mitigate common challenges when training, evaluating, and deploying ML models Represent data for different ML model types, including embeddings, feature crosses, and more Choose the right model type for specific problems Build a robust training loop that uses checkpoints, distribution strategy, and hyperparameter tuning Deploy scalable ML systems that you can retrain and update to reflect new data Interpret model predictions for stakeholders and ensure models are treating users fairly","https://images-na.ssl-images-amazon.com/images/I/51pSVhMRMkL._SX379_BO1,204,203,200_.jpg"
"Mathematical Mindsets: Unleashing Students' Potential through Creative Math, Inspiring Messages and Innovative Teaching 1st Edition","Jo Boaler, Carol Dweck (Foreword by)",470894520,978-0470894521,Mathematics,"Banish math anxiety and give students of all ages a clear roadmap to success ""Mathematical Mindsets ""provides practical strategies and activities to help teachers and parents show all children, even those who are convinced that they are bad at math, that they can enjoy and succeed in math. Jo Boaler--Stanford researcher, professor of math education, and expert on math learning--has studied why students don't like math and often fail in math classes. She's followed thousands of students through middle and high schools to study how they learn and to find the most effective ways to unleash the math potential in all students. There is a clear gap between what research has shown to work in teaching math and what happens in schools and at home. This book bridges that gap by turning research findings into practical activities and advice. Boaler translates Carol Dweck's concept of 'mindset' into math teaching and parenting strategies, showing how students can go from self-doubt to strong self-confidence, which is so important to math learning. Boaler reveals the steps that must be taken by schools and parents to improve math education for all. ""Mathematical Mindsets"" Explains how the brain processes mathematics learning Reveals how to turn mistakes and struggles into valuable learning experiences Provides examples of rich mathematical activities to replace rote learning Explains ways to give students a positive math mindset Gives examples of how assessment and grading policies need to change to support real understanding Scores of students hate and fear math, so they end up leaving school without an understanding of basic mathematical concepts. Their evasion and departure hinders math-related pathways and STEM career opportunities. Research has shown very clear methods to change this phenomena, but the information has been confined to research journals--until now. ""Mathematical Mindsets"" provides a proven, practical roadmap to mathematics success for any student at any age.","https://images-na.ssl-images-amazon.com/images/I/51UA9+0TqsL._SX399_BO1,204,203,200_.jpg"
"Princeton Review AP Calculus AB Premium Prep, 2022: 7 Practice Tests + Complete Content Review + Strategies & Techniques (2022) (College Test Preparation)",The Princeton Review,052557056X,978-0525570561,Mathematics,"PREMIUM PRACTICE FOR A PERFECT 5, WITH THE MOST PRACTICE ON THE MARKET. Ace the AP Calculus AB Exam with this Premium version of The Princeton Review's comprehensive study guide. Includes 7 full-length Calculus AB practice tests (more than any major competitor) with complete explanations, plus thorough content reviews, targeted test strategies, and access to online extras. Techniques That Actually Work. - Tried-and-true strategies to help you avoid traps and beat the test - Tips for pacing yourself and guessing logically - Essential tactics to help you work smarter, not harder Everything You Need to Know to Help Achieve a High Score. - Fully aligned with the latest College Board standards for AP Calculus AB - Comprehensive content review for all test topics - Subjects organized into manageable units - Access to bonus drills, handy study guides, helpful pre-college information, and more via your online Student Tools account Premium Practice for AP Excellence. - 7 full-length practice tests (5 in the book, 2 online) with detailed answer explanations - Comprehensive end-of-chapter and subtopic drills, plus bonus questions online - Handy reference guide of key calculus formulas","https://images-na.ssl-images-amazon.com/images/I/51WdaPnB6hS._SX383_BO1,204,203,200_.jpg"
"Princeton Review AP Calculus BC Prep, 2022: 4 Practice Tests + Complete Content Review + Strategies & Techniques (2022) (College Test Preparation)",The Princeton Review,525570802,978-0525570806,Mathematics,"EVERYTHING YOU NEED TO HELP SCORE A PERFECT 5! Ace the AP Calculus AB Exam with this comprehensive study guide, which includes 4 full-length practice tests, content reviews, targeted strategies, and access to online extras. Techniques That Actually Work. - Tried-and-true strategies to help you avoid traps and beat the test - Tips for pacing yourself and guessing logically - Essential tactics to help you work smarter, not harder Everything You Need to Know to Help Achieve a High Score. - Fully aligned with the latest College Board standards for AP Calculus BC - Comprehensive content review for all test topics - Engaging activities to help you critically assess your progress - Access to drills, study plans, a handy list of formulas, helpful pre-college information, and more via your online Student Tools account Practice Your Way to Excellence. - 4 full-length practice tests (3 in the book, 1 online) with detailed answer explanations - Practice drills at the end of each content review chapter - Handy reference guide of key calculus formulas","https://images-na.ssl-images-amazon.com/images/I/41ILMgKuDHS._SX379_BO1,204,203,200_.jpg"
My Best Mathematical and Logic Puzzles (Dover Recreational Math),Martin Gardner,486281523,978-0486281520,Mathematics,"Over a period of 25 years as author of the Mathematical Games column for Scientific American, Martin Gardner devoted a column every six months or so to short math problems or puzzles. He was especially careful to present new and unfamiliar puzzles that had not been included in such classic collections as those by Sam Loyd and Henry Dudeney. Later, these puzzles were published in book collections, incorporating reader feedback on alternate solutions or interesting generalizations.
The present volume contains a rich selection of 70 of the best of these brain teasers, in some cases including references to new developments related to the puzzle. Now enthusiasts can challenge their solving skills and rattle their egos with such stimulating mind-benders as The Returning Explorer, The Mutilated Chessboard, Scrambled Box Tops, The Fork in the Road, Bronx vs. Brooklyn, Touching Cigarettes, and 64 other problems involving logic and basic math. Solutions are included.","https://images-na.ssl-images-amazon.com/images/I/51ZQg9283BL._SX322_BO1,204,203,200_.jpg"
"How to Solve It: A New Aspect of Mathematical Method (Princeton Science Library, 85)","G. Polya, John H. Conway",069116407X,978-0691164076,Mathematics,"A perennial bestseller by eminent mathematician G. Polya, ""How to Solve It"" will show anyone in any field how to think straight. In lucid and appealing prose, Polya reveals how the mathematical method of demonstrating a proof or finding an unknown can be of help in attacking any problem that can be ""reasoned"" out--from building a bridge to winning a game of anagrams. Generations of readers have relished Polya's deft--indeed, brilliant--instructions on stripping away irrelevancies and going straight to the heart of the problem.","https://images-na.ssl-images-amazon.com/images/I/510zO8qcMLL._SX322_BO1,204,203,200_.jpg"
Think Again: The Power of Knowing What You Don't Know (Random House Large Print),Adam Grant,593395786,978-0593395783,Business,"Think Again is a must-read for anyone who wants to create a culture of learning and exploration, whether at home, at work, or at school... In an increasingly divided world, the lessons in this book are more important than ever. --Bill and Melinda Gates The bestselling author of Give and Take and Originals examines the critical art of rethinking: learning to question your opinions and open other people's minds, which can position you for excellence at work and wisdom in life Intelligence is usually seen as the ability to think and learn, but in a rapidly changing world, there's another set of cognitive skills that might matter more: the ability to rethink and unlearn. In our daily lives, too many of us favor the comfort of conviction over the discomfort of doubt. We listen to opinions that make us feel good, instead of ideas that make us think hard. We see disagreement as a threat to our egos, rather than an opportunity to learn. We surround ourselves with people who agree with our conclusions, when we should be gravitating toward those who challenge our thought process. The result is that our beliefs get brittle long before our bones. We think too much like preachers defending our sacred beliefs, prosecutors proving the other side wrong, and politicians campaigning for approval--and too little like scientists searching for truth. Intelligence is no cure, and it can even be a curse: being good at thinking can make us worse at rethinking. The brighter we are, the blinder to our own limitations we can become. Organizational psychologist Adam Grant is an expert on opening other people's minds--and our own. As Wharton's top-rated professor and the bestselling author of Originals and Give and Take , he makes it one of his guiding principles to argue like he's right but listen like he's wrong. With bold ideas and rigorous evidence, he investigates how we can embrace the joy of being wrong, bring nuance to charged conversations, and build schools, workplaces, and communities of lifelong learners. You'll learn how an international debate champion wins arguments, a Black musician persuades white supremacists to abandon hate, a vaccine whisperer convinces concerned parents to immunize their children, and Adam has coaxed Yankees fans to root for the Red Sox. Think Again reveals that we don't have to believe everything we think or internalize everything we feel. It's an invitation to let go of views that are no longer serving us well and prize mental flexibility over foolish consistency. If knowledge is power, knowing what we don't know is wisdom.","https://images-na.ssl-images-amazon.com/images/I/41Er2M6NYbL._SX331_BO1,204,203,200_.jpg"
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,1592408419,978-1592408412,Business,"The #1 ""New York Times"" bestseller, now in paperback. From thought leader Dr. Brene Brown, a transformative new vision for the way we lead, love, work, parent, and educate that teaches us the power of vulnerability. """"It is not the critic who counts; not the man who points out how the strong man stumbles, or where the doer of deeds could have done them better. The credit belongs to the man who is actually in the arena, whose face is marred by dust and sweat and blood; who strives valiantly; . . . who at the best knows in the end the triumph of high achievement, and who at worst, if he fails, at least fails while daring greatly.""--""Theodore Roosevelt Every day we experience the uncertainty, risks, and emotional exposure that define what it means to be vulnerable or to dare greatly. Based on twelve years of pioneering research, Dr. Brene Brown dispels the cultural myth that vulnerability is weakness and argues that it is, in truth, our most accurate measure of courage. Brown explains how vulnerability is both the core of difficult emotions like fear, grief, and disappointment, ""and"" the birthplace of love, belonging, joy, empathy, innovation, and creativity. She writes: ""When we shut ourselves off from vulnerability, we distance ourselves from the experiences that bring purpose and meaning to our lives."" ""Daring Greatly"" is not about winning or losing. It's about courage. In a world where ""never enough"" dominates and feeling afraid has become second nature, vulnerability is subversive. Uncomfortable. It's even a little dangerous at times. And, without question, putting ourselves out there means there's a far greater risk of getting criticized or feeling hurt. But when we step back and examine our lives, we will find that nothing is as uncomfortable, dangerous, and hurtful as standing on the outside of our lives looking in and wondering what it would be like if we had the courage to step into the arena--whether it's a new relationship, an important meeting, the creative process, or a difficult family conversation. ""Daring Greatly"" is a practice and a powerful new vision for letting ourselves be seen.","https://images-na.ssl-images-amazon.com/images/I/511floR8eGL._SX331_BO1,204,203,200_.jpg"
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,"Thomas J. Stanley Ph.D., William D. Danko Ph.D",1589795474,978-1589795471,Business,"The bestselling The Millionaire Next Door identifies seven common traits that show up again and again among those who have accumulated wealth. Most of the truly wealthy in this country don't live in Beverly Hills or on Park Avenue-they live next door. This new edition, the first since 1998, includes a new foreword for the twenty-first century by Dr. Thomas J. Stanley.","https://images-na.ssl-images-amazon.com/images/I/51RBkKXvxjS._SX331_BO1,204,203,200_.jpg"
What Color Is Your Parachute? 2021: Your Guide to a Lifetime of Meaningful Work and Career Success,"Richard N. Bolles, Katharine Brooks EdD",198485786X,978-1984857866,Business,"With timeless advice, up-to-the-minute insights, and more than ten million copies sold over fifty years, the world's most popular and best-selling career guide is fully revised and expanded for 2021. In today's challenging job-market, as recent grads face a shifting economic landscape and seek work that pays and inspires, as workers are laid off mid-career, and as people search for an inspiring work-life change, the time-tested advice of What Color Is Your Parachute? is needed more than ever. This completely updated edition features the latest resources, strategies, and perspectives on today's job market, revealing surprising advice on what works--and what doesn't--so you can focus your efforts on tactics that yield results. This practical manual has been fully revised for 2021 by Vanderbilt University Career Center Director Katharine Brooks, EdD, with modern advice on the job hunt strategies that are working today, such as building an online resume, making the most of social media tools to network effectively, interviewing virtually with confidence, and negotiating the best salary possible. At its core is Richard N. Bolles's famed Flower Exercise, a unique self-inventory that helps you design your career--and your life--around your key passions, transferable skills, traits, and more. With the unique and authoritative guidance of What Color Is Your Parachute? , job-hunters and career changers will have all the tools they need to discover--and land--their dream job.","https://images-na.ssl-images-amazon.com/images/I/51KZL7B46jL._SX330_BO1,204,203,200_.jpg"
Leaders Eat Last: Why Some Teams Pull Together and Others Don't,Simon Sinek,1591848016,978-1591848011,Business,"Imagine a world in which the vast majority of people wake up inspired to go to work, feel safe when they are there and return home feeling fulfilled by the work they do. It's not as crazy as you might think. In his travels around the world, Simon Sinek, the New York Times bestselling author of Start with Why, noticed that some teams trust each other so deeply that they would literally put their lives on the line for each other. Other teams, no matter what incentives were offered, were doomed to in-fighting, fragmentation and failure. Why? The answer became clear during a conversation with a Marine Corps general when Sinek asked, ""What makes the Marines so good?"" ""Officers eat last,"" the general replied. Sinek saw it firsthand. The most junior Marines ate first, while the most senior Marines took their place at the back of the line. What's symbolic in the chow hall is deadly serious on the battlefield: Great leaders will sacrifice their interests for the good of those in their care. Today's workplaces tend to be full of cynicism, paranoia and self-interest. But the best organizations foster trust and cooperation because their leaders build what Sinek calls a Circle of Safety. When everyone feels they belong, all energies are devoted to facing the common enemy and seizing big opportunities. This is particularly important for our youngest employees. In this revised edition, Sinek further explores the challenge of leading Millennials. As a generation, they want to work somewhere with a sense of purpose-they want to make an impact. But unless their organizations build a Circle of Safety, Millennials will struggle to find what they are looking for. The fascinating research and true stories in this book prove that leaders who are willing to eat last are rewarded with deeply loyal, inspired and effective colleagues. It's amazing how well it works. Book jacket.","https://images-na.ssl-images-amazon.com/images/I/41in4Ig7LgL._SX330_BO1,204,203,200_.jpg"
Network+ Guide to Networks 8th Edition,"Jill West, Tamara Dean, Jean Andrews",133756933X,978-1337569330,Networking & Cloud Computing,"Master the technical skills and industry knowledge you need to begin an exciting career installing, configuring and troubleshooting computer networks with West/Dean/Andrews' NETWORK+ GUIDE TO NETWORKS, 8th edition. It thoroughly prepares you for success on CompTIA's Network+ N10-007 certification exam with fully mapped coverage of all objectives, including protocols, topologies, hardware, network design, security and troubleshooting. Virtualization-based projects give you experience working with a wide variety of hardware, software, operating systems and device interactions, while ""On the Job"" stories, Applying Concepts activities, and Hands-On and Capstone Projects let you explore concepts in more depth. MindTap Networking offers additional practice and certification prep. The text's emphasis on real-world problem solving provides the tools for success in any computing environment.","https://images-na.ssl-images-amazon.com/images/I/41NQ6e27EKL._SX403_BO1,204,203,200_.jpg"
Network+ Guide to Networks 7th Edition,"Jill West, Tamara Dean, Jean Andrews",1305090942,978-1305090941,Networking & Cloud Computing,"Master the technical skills and industry know-how to begin an exciting career installing, configuring, and troubleshooting computer networks with the completely updated NETWORK+ GUIDE TO NETWORKS, 7E. You can prepare for success on CompTIA's Network+ N10-006 certification exam with fully mapped coverage of all objectives, including protocols, topologies, hardware, network design, and troubleshooting. This edition addresses today's latest technology with new features that make essential information easily accessible and help you visualize high-level concepts. New OSI layer icons visually link concepts and the OSI model. New and updated ""On the Job"" stories, Applying Concepts activities, Hands-On and Case Projects let you explore concepts in more depth. The NETWORK+ GUIDE TO NETWORKS, 7E's emphasis on real-world problem solving provides the tools you need to succeed in any computing environment.","https://images-na.ssl-images-amazon.com/images/I/41topp9Jv5L._SX396_BO1,204,203,200_.jpg"
Zero Trust Networks: Building Secure Systems in Untrusted Networks 1st Edition,"Evan Gilman, Doug Barth",1491962194,978-1491962190,Networking & Cloud Computing,"Perimeter defenses guarding your network aren't as secure as you might think. Hosts behind the firewall have no defenses of their own, so when a host in the ""trusted"" zone is breached, access to your data center is not far behind. This practical book introduces you to the zero trust model, a method that treats all hosts as if they're internet-facing, and considers the entire network to be compromised and hostile. Authors Evan Gilman and Doug Barth show you how zero trust lets you focus on building strong authentication, authorization, and encryption throughout, while providing compartmentalized access and better operational agility. You'll learn the architecture of a zero trust network, including how to build one using currently available technology. Understand how the zero trust model embeds security within the system's operation, rather than layering it on top Examine the fundamental concepts at play in a zero trust network, including network agents and trust engines Use existing technology to establish trust among the actors in a network Learn how to migrate from a perimeter-based network to a zero trust network in production Explore case studies of zero trust on the client side (Google) and on the server (PagerDuty)","https://images-na.ssl-images-amazon.com/images/I/51FEu6AhMfL._SX379_BO1,204,203,200_.jpg"
Practical Packet Analysis: Using Wireshark to Solve Real-World Network Problems 3rd Edition,Chris Sanders,1593278020,978-1593278021,Networking & Cloud Computing,"It's easy to capture packets with Wireshark, the world's most popular network sniffer, whether off the wire or from the air. But how do you use those packets to understand what's happening on your network? Updated to cover Wireshark 2.x, the third edition of Practical Packet Analysis will teach you to make sense of your packet captures so that you can better troubleshoot network problems. You'll find added coverage of IPv6 and SMTP, a new chapter on the powerful command line packet analyzers tcpdump and TShark, and an appendix on how to read and reference packet values using a packet map. Practical Packet Analysis will show you how to: Monitor your network in real time and tap live network communications Build customized capture and display filters Use packet analysis to troubleshoot and resolve common network problems, like loss of connectivity, DNS issues, and slow speeds Explore modern exploits and malware at the packet level Extract files sent across a network from packet captures Graph traffic patterns to visualize the data flowing across your network Use advanced Wireshark features to understand confusing captures Build statistics and reports to help you better explain technical network information to non-techies No matter what your level of experience is, Practical Packet Analysis will show you how to use Wireshark to make sense of any network and get things done.","https://images-na.ssl-images-amazon.com/images/I/51q8cZu7uJL._SX376_BO1,204,203,200_.jpg"
The Illustrated Network: How TCP/IP Works in a Modern Network 2nd Edition,Walter Goralski,128110279,978-0128110270,Networking & Cloud Computing,"The Illustrated Network: How TCP/IP Works in a Modern Network, Second Edition presents an illustrated explanation on how TCP/IP works, using consistent examples from a working network configuration that includes servers, routers and workstations. Diagnostic traces allow the reader to follow the discussion with unprecedented clarity and precision. True to its title, there are 330+ diagrams and screenshots, as well as topology diagrams and a unique repeating chapter opening diagram. Illustrations are also used as end-of-chapter questions. Based on examples of a complete and modern network, all the material comes from real objects connected and running on the network.

The book emphasizes the similarities across all networks, since all share similar components, from the smallest LAN to the global internet. Layered protocols are the rule, and all hosts attached to the Internet run certain core protocols to enable their applications to function properly.

This second edition includes updates throughout, along with four completely new chapters that introduce developments that have occurred since the publication of the first edition, including optical networking, cloud concepts and VXLAN.","https://images-na.ssl-images-amazon.com/images/I/51-M9b-plTL._SX404_BO1,204,203,200_.jpg"
"The Worldly Philosophers: The Lives, Times And Ideas Of The Great Economic Thinkers, Seventh Edition",Robert L. Heilbroner,068486214X,978-0684862149,Economics,"The Worldly Philosophers not only enables us to see more deeply into our history but helps us better understand our own times. In this seventh edition, Robert L. Heilbroner provides a new theme that connects thinkers as diverse as Adam Smith and Karl Marx. The theme is the common focus of their highly varied ideas—namely, the search to understand how a capitalist society works. It is a focus never more needed than in this age of confusing economic headlines.

In a bold new concluding chapter entitled “The End of the Worldly Philosophy?” Heilbroner reminds us that the word “end” refers to both the purpose and limits of economics. This chapter conveys a concern that today’s increasingly “scientific” economics may overlook fundamental social and political issues that are central to economics. Thus, unlike its predecessors, this new edition provides not just an indispensable illumination of our past but a call to action for our future.","https://images-na.ssl-images-amazon.com/images/I/51cKn4+MdFL._SX321_BO1,204,203,200_.jpg"
Start-up Nation: The Story of Israel's Economic Miracle,"Dan Senor, Saul Singer",446541478,978-0446541473,Economics,"START-UP NATION addresses the trillion dollar question: How is it that Israel-- a country of 7.1 million, only 60 years old, surrounded by enemies, in a constant state of war since its founding, with no natural resources-- produces more start-up companies than large, peaceful, and stable nations like Japan, China, India, Korea, Canada and the UK?
With the savvy of foreign policy insiders, Senor and Singer examine the lessons of the country's adversity-driven culture, which flattens hierarchy and elevates informality-- all backed up by government policies focused on innovation. In a world where economies as diverse as Ireland, Singapore and Dubai have tried to re-create the ""Israel effect,"" there are entrepreneurial lessons well worth noting. As America reboots its own economy and can-do spirit, there's never been a better time to look at this remarkable and resilient nation for some impressive, surprising clues.","https://images-na.ssl-images-amazon.com/images/I/515rWDeHmML._SX322_BO1,204,203,200_.jpg"
